taskid,SAT,MIDSAT,UNSAT
11,2.9,3.1,3.7
10,5.0,5.0,5.7
13,3.0,4.2,4.5
12,2.4,3.7,4.5
15,4.6,6.2,5.1
14,5.1,3.9,3.1
17,3.3,4.5,5.3
16,4.2,4.3,3.5
19,7.5,7.9,6.7
18,4.0,3.8,5.0
20,5.0,6.3,6.1
1,4.7,6.9,6.9
3,3.3,2.4,3.5
2,3.4,5.5,3.6
5,3.8,4.0,4.2
4,4.33333333333,4.5,4.1
7,3.5,4.3,3.7
6,3.4,5.5,4.2
9,6.7,5.7,6.3
8,5.8,3.4,4.5
