taskid,SAT,MIDSAT,UNSAT
11,4.4,4.5,4.11111111111
10,4.0,4.0,4.0
13,4.4,4.4,4.2
12,4.5,4.2,4.3
15,4.3,4.1,4.0
14,4.3,4.1,4.0
17,3.8,2.8,3.3
16,3.8,4.1,4.1
19,2.1,2.8,2.5
18,4.0,4.3,3.8
20,4.3,4.0,4.3
1,4.4,3.7,3.5
3,3.9,4.6,4.7
2,4.2,3.9,3.7
5,4.5,4.5,4.2
4,4.6,4.8,4.6
7,3.7,4.4,4.5
6,4.4,4.6,4.7
9,3.6,3.6,3.5
8,4.2,4.1,4.2
