taskid,HIGH,LOW
11,4.13333333333,4.57142857143
10,3.73333333333,4.26666666667
13,4.06666666667,4.6
12,3.93333333333,4.73333333333
15,3.93333333333,4.33333333333
14,4.06666666667,4.2
17,3.2,3.4
16,3.86666666667,4.13333333333
19,2.4,2.53333333333
18,4.06666666667,4.0
20,3.86666666667,4.53333333333
1,3.86666666667,3.86666666667
3,4.33333333333,4.46666666667
2,3.73333333333,4.13333333333
5,4.4,4.4
4,4.66666666667,4.66666666667
7,4.13333333333,4.26666666667
6,4.53333333333,4.6
9,3.53333333333,3.6
8,4.06666666667,4.26666666667
